Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.40530776977539,35.27217958791646,26.784307105907242,28.9264082901474,855215656
1,2007-10-08,30.746395111083984,33.50052448695849,30.553122031033062,33.50052448695849,126671715
2,2007-10-09,32.84017562866211,33.130083049065135,29.103578962810516,30.762497772540108,116725709
3,2007-10-10,33.14619064331055,33.822644226894305,32.856283212928,33.69379478098779,67931378
4,2007-10-11,36.8505744934082,38.65444925815257,32.85628318014069,38.65444925815257,106320954
5,2007-10-12,36.60898208618164,37.977993440718755,35.7553641153952,36.07748443410981,99410791
6,2007-10-15,37.092166900634766,37.59145607443532,36.77004654426162,37.365970077359336,41814972
7,2007-10-16,40.877079010009766,41.521324059042456,36.88278766784216,37.14048219222585,138614496
8,2007-10-17,44.066070556640625,45.096852945678336,34.17697293041151,36.72172473569445,204876259
9,2007-10-18,42.5198860168457,48.140886692601015,40.69990729500841,44.774727993750375,146617799
10,2007-10-19,42.37495040893555,44.09829544020785,40.265059146130874,41.55354075918866,110266491
11,2007-10-22,41.81123352050781,43.11581921320195,40.426113369868766,41.52132607424655,72253405
12,2007-10-23,44.790836334228516,45.1934866845947,42.8420060170346,42.8420060170346,74594921
13,2007-10-24,44.098289489746094,46.22428473822494,43.5990003106359,45.74109982948988,63055170
14,2007-10-25,44.001644134521484,45.03243087827404,38.86382342178153,42.6004199065891,34522489
15,2007-10-26,45.32233810424805,46.04710880177301,43.56678066707306,44.77473182961466,62370025
16,2007-10-29,46.240394592285156,47.35171171540081,45.837744093915354,46.063230120617455,43657697
17,2007-10-30,47.27117919921875,48.54355208760095,45.48340845642538,46.8685287214325,79921711
18,2007-10-31,48.25362777709961,49.31662728889559,47.35169276924464,47.51275290414987,44655368
19,2007-11-01,47.174537658691406,49.81592638355867,46.787995844418155,49.44548883982458,50632492
20,2007-11-02,48.02815246582031,48.318064268015135,45.0968564882514,45.4672983757144,32001693
21,2007-11-05,49.010623931884766,50.08972798801385,47.706033881088615,47.995945693956806,38833135
22,2007-11-06,49.65485763549805,52.79553063369082,48.97840411592619,49.864234961570304,81880281
23,2007-11-07,48.93009567260742,51.28157258929093,47.834887305508765,50.572910407773946,33593141
24,2007-11-08,48.09259796142578,49.397188498038446,47.02960214851638,47.673843094289,27990521
25,2007-11-12,49.252220153808594,50.121946959535805,45.37066681007044,46.643044105664416,35153735
26,2007-11-13,50.42795181274414,51.442630034610566,48.49522972574644,50.08972719513427,43830531
27,2007-11-14,49.76759719848633,52.022439196153954,49.50989834875986,51.31377282070116,36738579
28,2007-11-15,50.6051139831543,51.49094482342263,49.654857334161036,50.70174832720543,29242252
29,2007-11-16,50.25078201293945,51.39430737824605,49.67096282721959,50.37962926453175,18895294
30,2007-11-19,52.070762634277344,53.955167404439145,51.00776731215351,51.3943090797274,40716718
31,2007-11-20,51.26545333862305,53.31091793230956,50.637317062856795,51.861376713497414,26342171
32,2007-11-21,47.27117919921875,51.87749891747864,46.1276492208834,51.57148717578346,26814499
33,2007-11-22,45.64445877075195,48.672393203734096,43.66341972251866,46.77187986459617,34096185
34,2007-11-23,48.67240524291992,48.96231272209589,45.934377540149846,48.640192329892045,27664090
35,2007-11-26,49.058929443359375,50.47625778536974,48.6723877331943,50.47625778536974,20159123
36,2007-11-27,47.850982666015625,49.89644747652036,47.35169794089295,49.89644747652036,20573198
37,2007-11-28,47.1423225402832,49.123366175653935,46.820202192292754,48.89788018444589,16435311
38,2007-11-29,45.86994934082031,48.57575936380471,45.27402582902906,48.31806483553449,25530967
39,2007-11-30,47.64160919189453,47.93151661600968,46.06322044367953,46.707461105729465,18437721
40,2007-12-03,48.31806564331055,48.913989165064386,47.85098938784587,48.22142691681603,16851227
41,2007-12-04,47.689937591552734,49.042845047878565,47.33560427022572,48.64019453933369,14008727
42,2007-12-05,49.590431213378906,49.76760000173947,47.6738180288262,47.77045237226924,27725290
43,2007-12-06,48.67240524291992,51.42653284864777,48.044268730507454,50.66954905316126,24104710
44,2007-12-07,48.463008880615234,49.670959987168786,47.59328670531835,48.97840222655197,11742386
45,2007-12-10,48.51133346557617,49.10725255365795,47.8831971031204,48.930088127855754,8330010
46,2007-12-11,48.28583526611328,49.219983070059136,48.04424509083235,48.94617999760036,11685950
